Listing Office - Office Name,List Agent - Agent Name,Price,Status,Address,City,MLS #,Property Type,State,County,Date - MLS List,Bedrooms - Total,Baths - Total,SqFtTotFn,DOM,Assessment Amount,Assessment Year,Price - Closed,Price - List,PicCount, Price - Original , Tax - Gross Amount ,Date - Closed,Lot - Acres,Garage Type,Year Built,Total Stories,Surveyed,Showing Service,Seasonal,Water Body Type,Water Frontage Length,Short Sale,Rooms - Total,Rented,Garage Capacity,Garage,Foreclosed/Bank-Owned/REO,Flood Zone,Easements,Development / Subdivision,Current Use,Covenants,Common Land Acres,Basement Access Type,Basement
Granite Northland Associates,Doreen Wyman,"$198,500",CL,668 NH ROUTE 118,Canaan,4043956,Single Family,NH,NH-Grafton,2/8/2011,3,2,"1,144",520,,2010,"$198,500","$199,900",18,"229,900","4,292",8/23/2012,1.09,,2007,1,Yes,,No,,,,5,,0,No,,No,,,No,No,,Walkout,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$130,000",CL,157 Follensbee Rd,Canaan,4090057,Single Family,NH,NH-Grafton,8/29/2011,4,2,"2,304",275,"$146,100",,"$130,000","$139,900",8,"145,000","3,410",6/29/2012,1,,1973,2,Unknown,,No,,,,8,,0,No,,No,,,No,No,,Walkout,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$349,900",CL,142 Wescott Road,Canaan,4091600,Single Family,NH,NH-Grafton,9/7/2011,4,2,"2,100",377,"$291,100",,"$349,900","$349,900",24,"369,500","6,794",10/29/2012,18,Attached,2003,2,Yes,,No,,,,8,,4,Yes,,No,,,No,No,,,No
Granite Northland Associates,Doreen Wyman,"$175,000",CL,46 Kilton Road,Canaan,4092897,Single Family,NH,NH-Grafton,9/13/2011,3,2,"1,673",572,,2010,"$175,000","$175,000",18,"219,900","4,040",6/3/2013,4.1,Detached,1900,1.5,Unknown,,No,,,,8,,2,Yes,No,No,,,,No,,,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$259,900",CL,16 Gould Rd,Canaan,4103231,Single Family,NH,NH-Grafton,10/24/2011,4,3,"3,221",409,"$273,300",2011,"$259,900","$259,900",24,"264,900","6,379",5/15/2013,2,Under,1980,2,Yes,,No,,,,12,,2,Yes,No,Unknown,,,No,Unknown,,Walkout,Yes
Granite Northland Associates,Doreen Wyman,"$70,000",CL,31 Codfish Hill Road,Canaan,4104757,Single Family,NH,NH-Grafton,10/28/2011,2,1,868,130,,2010,"$70,000","$79,900",14,"79,900","1,496",3/30/2012,0.64,,1983,1,Yes,,No,,,,4,,0,No,,No,,,,No,,,No
Granite Northland Associates,Doreen Wyman,"$75,000",CL,40 Warbonnet,Canaan,4121160,Single Family,NH,NH-Grafton,1/5/2012,3,0,"1,260",288,,,"$75,000","$100,000",6,"195,000","2,132",12/31/2012,2.63,,1952,1,Yes,,Yes,Lake,,,6,,0,No,,No,,,No,Yes,,,No
Granite Northland Associates,Doreen Wyman,"$210,000",CL,136 SOUTH ROAD,Canaan,4122903,Single Family,NH,NH-Grafton,1/11/2012,3,2,"1,344",33,,,"$210,000","$210,000",15,"210,000","4,082",3/23/2012,5.1,Under,2007,1,Yes,,No,,,,5,,2,Yes,,Unknown,,,,No,,Walkout,Yes
Real Home Services and Solutions,Agent41590 House,"$43,199",CL,463 NH ROUTE 118,Canaan,4135475,Single Family,NH,NH-Grafton,2/23/2012,3,1,"1,432",7,"$107,800",,"$43,199","$43,000",3,"43,000","3,205",4/18/2012,2.19,Attached,1958,1,Yes,,No,,,,6,,2,Yes,Yes,Unknown,,,,No,,,No
RE/MAX Northern Edge Realty LLC,Steve Grone,"$60,000",CL,154 Grafton Turnpike Road,Canaan,4137102,Single Family,NH,NH-Grafton,2/29/2012,3,2,"1,944",201,"$241,000",2011,"$60,000","$139,900",9,"189,900","5,624",9/21/2012,3.4,Detached,1990,2,Unknown,,No,,,,6,,1,Yes,,No,,,,No,,Interior,Yes
