address,area,city,country,hotel_category,hotel_description,hotel_facilities,hotel_star_rating,image_count,latitude,locality,longitude,property_id,property_name,property_type,province,room_area,room_count,room_facilities,room_type,state,uniq_id
"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Others,Manali,India,gostays,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Gardens|Dance Performances (on demand)|Catering|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility|Internet Access Free|Children's Park|Postal / Parcel Services| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Security at All Hotel Entrances|Suites,2,20,32.1393865,Others,77.1546599,HTLGBO1000016238,Baragarh Regency,Resort,Manali,,17,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Makeup / Shaving Mirror|Safe - In - Room |Hill View from all Rooms|HD / LCD Satellite TV |Sofa Table / Extra Seats |Private Garden|TV|Bathrobes|Mirror|Gas Cylinder - Chargeable|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable",Deluxe Room,Himachal Pradesh,2c8db027d43a9452a43e88eb30d9f983
"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Sushant Lok,Gurgaon,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn. 3. Cancellation and prepayment policies vary according to room type.,Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup,0,17,28.4720966,Sushant Lok,77.0725457,HTLGBO1000015822,Asian Suites A- 585,Guest House,Gurgaon,14 X 12 Sq.ft.,18,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Hairdryer (on request)|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Makeup / Shaving Mirror|Coffee Table|Snacks / Beverage|TV|Room Heater|Mirror|Mini Refrigerator|Utensils (on request)|Attached Bathroom",Deluxe Room With Free WIFI,Haryana,e98f69f889c0235e6dc480e7df6de0de
"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Calangute Area,Goa,India,regular,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Resort is undergoing minor external repair/maintenance, inconvenience regretted Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.",Swimming Pool|Bar / Lounge |Laundry Service Available|Multi Cuisine Restaurant,0,28,15.54839798,Calangute Area,73.75763376,HTLGBO1000004551,Bevvan Resort,Resort,Goa,,15,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Window Opens|Makeup / Shaving Mirror|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|Mirror|Mini Refrigerator|Luggage Rack|Attached Bathroom,Standard Room,Goa,9b59d00eaffc273d83000ed7dcda0e83
Simsa,Village Simsa,Manali,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Local Tour / Travel Desk|Car Rental,2,4,32.2236026,Village Simsa,77.1858995,HTLGBO1000007993,Apple Inn Cottage,Cottage,Manali,,24,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Heating Facility (on request) |Telephone| Hot / Cold Running Water,Deluxe Room,Himachal Pradesh,df0971f9c5501af112485ee28b468ce5
"8180 Street No.-6,Arakashan Road,Paharganj",Paharganj,Delhi,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried couples are not allowed for check in. Guests with local Delhi NCR ID will not be allowed for check-in.,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Medical Assistance Available|Power Backup,2,6,28.6467775,Paharganj,77.2127353,HTLGBO1000008281,Anmol Hotel Pvt.Ltd,Hotel,Delhi,14 X 14 Sq.ft.,20,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water|Mirror,Standard Room Non AC,Delhi,0c3514344c9cda8718f558e84bdb44ef
"Baga Beach, Calangute, Goa",Baga Area,Goa,India,regular,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Mandatory  Gala Dinner on 31st Dec at Rs. 1500/- per person. Children below 10 years @ Rs. 750 Gala dinner charges directly payable at the hotel No check out allowed on 25 Dec, 31st Dec  and 1 Jan Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.",Airport Transfer Available / Surcharge|Bar / Lounge |Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Power Backup|Newspapers In Lobby|Family Room|Room Service (24 Hours),3,12,15.56092347,Baga Area,73.74975872,HTLGBO1000002591,Baia Do Sol (A Boutique Beach Resort),Resort,Goa,,15,,Semi Deluxe,Goa,9250fc9e71eb1b99830b039492310c60
"K-69, Kalkaji",Kalkaji,Delhi,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Lobby|Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby,2,3,28.5403197,Kalkaji,77.2613326,HTLGBO1000016284,Balaji Residency,Hotel,Delhi,,10,Basic Bathroom Amenities|Hairdryer (on request)|Internet Connection In Room| Hot / Cold Running Water|Housekeeping|Makeup / Shaving Mirror|Attached Bathroom,Deluxe A/C Room,Delhi,815a2a40bc6cc2b3161553cb67a33b03
"2638-2642 Gurudwara Road,Karol Bagh",Karol Bagh Area,Delhi,India,gostays,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Banquet Facilities|Barbecue Area|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Audio - Visual Equipment|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |ATM / Banking|Veranda|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|Board Room|Rooftop Garden|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|STD / ISD|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days|Paid Transfers|Pest Control Facility|Public Restrooms|Stamps and Mailing Facility,3,20,28.65058813,Karol Bagh Area,77.194692,HTLGBO1000000104,BB Palace-A Boutique Hotel,Hotel,Delhi,21 X 21 Sq.ft.,24,Room Service |Air Conditioning |Ensuite / Private Bathroom|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Voicemail|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Bathrobes|Mirror|Luggage Rack,Club Room,Delhi,04e102bdd434eaeec45f095aac031106
"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Others,Jaipur,India,regular,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Hotel may charge gala dinner supplement on Christmas/New Years eve or other festive periods. Which needs to be paid directly at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk,1,5,26.9047751,Others,75.7488641,HTLGBO1000061958,Art Inn Homestay,Homestay,Jaipur,,2,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,Standared Room,Rajasthan,059fa03383171456eb56f4503d499f6f
51 Amri Nagar south ex,South Extension,Delhi,India,regular,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas  New year dates, High season  long weekend dates  extra supplement will be charged over  above the paid rates as per actual  hotel discretion",Doctor on Call|Front Desk|24 Hour Front Desk,0,6,28.5732907,South Extension,77.2219418,HTLGBO1000073032,Arjun Homestay,Homestay,Delhi,,4,Room Service |Basic Bathroom Amenities,Deluxe,Delhi,78e97b94135c33b231335c42695149ed
