id,address,city,country,latitude,longitude,menuPageURL,menus.amount,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax,reviews,ratings
AVwc_6KEIN2L1WUfrKAH,Cascade Village Mall Across From Target,Bend,US,44.10266476,-121.3007971,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,22.5,"Olives, onions, capers, tomatoes",Bianca Pizza,Little Pizza Paradise,97701,50,55,50,4
AVwc_6KEIN2L1WUfrKAH,Cascade Village Mall Across From Target,Bend,US,44.10266476,-121.3007971,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,18.95,"Olives, onions, capers, tomatoes",Cheese Pizza,Little Pizza Paradise,97701,50,55,50,4
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,Los Angeles,US,34.06456347,-118.4690173,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,12,"Olives, onions, capers, tomatoes","Pizza, Margherita",The Brentwood,90049,50,55,55,4
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,Los Angeles,US,34.06456347,-118.4690173,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,13,"Olives, onions, capers, tomatoes","Pizza, Mushroom",The Brentwood,90049,50,55,55,4
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,Los Angeles,US,34.06456347,-118.4690173,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,13,"Olives, onions, capers, tomatoes","Pizza, Puttenesca",The Brentwood,90049,50,55,55,4
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,Los Angeles,US,34.06456347,-118.4690173,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,15,"Olives, onions, capers, tomatoes","Pizza, Salami Piccante",The Brentwood,90049,50,55,55,4
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,Los Angeles,US,34.06456347,-118.4690173,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,15,"Olives, onions, capers, tomatoes","Pizza, White Truffle Meat Sauce",The Brentwood,90049,50,55,55,4
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Los Angeles,US,34.1017424,-118.3019729,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,10.99,Choose a pizza size.,Cheese Pizza,Bravo Pizza Hollywood,90027,50,55,60,4
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Los Angeles,US,34.1017424,-118.3019729,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,11.99,"Canadian bacon, pineapple.",Hawaiian Pizza,Bravo Pizza Hollywood,90027,50,55,60,4
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Los Angeles,US,34.1017424,-118.3019729,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,16.99,"Canadian bacon, pineapple.",Meat Lover Pizza,Bravo Pizza Hollywood,90027,50,55,60,4
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Los Angeles,US,34.1017424,-118.3019729,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,5.99,"Canadian bacon, pineapple.",Pizza Sub,Bravo Pizza Hollywood,90027,50,55,60,4
