id,address,city,country,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax
AVwc_6KEIN2L1WUfrKAH,Cascade Village Mall Across From Target,Bend,US,44.10266476,-121.3007971,,22.5,15.5,,Bianca Pizza,Little Pizza Paradise,97701,,
AVwc_6KEIN2L1WUfrKAH,Cascade Village Mall Across From Target,Bend,US,44.10266476,-121.3007971,,18.95,18.95,,Cheese Pizza,Little Pizza Paradise,97701,,
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,Los Angeles,US,34.06456347,-118.4690173,,12,12,,"Pizza, Margherita",The Brentwood,90049,50,55
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,Los Angeles,US,34.06456347,-118.4690173,,13,13,,"Pizza, Mushroom",The Brentwood,90049,50,55
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,Los Angeles,US,34.06456347,-118.4690173,,13,13,"Olives, onions, capers, tomatoes","Pizza, Puttenesca",The Brentwood,90049,50,55
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,Los Angeles,US,34.06456347,-118.4690173,,15,15,,"Pizza, Salami Piccante",The Brentwood,90049,50,55
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,Los Angeles,US,34.06456347,-118.4690173,,15,15,,"Pizza, White Truffle Meat Sauce",The Brentwood,90049,50,55
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Los Angeles,US,34.1017424,-118.3019729,,10.99,7.99,Choose a pizza size.,Cheese Pizza,Bravo Pizza Hollywood,90027,,
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Los Angeles,US,34.1017424,-118.3019729,,11.99,7.99,"Canadian bacon, pineapple.",Hawaiian Pizza,Bravo Pizza Hollywood,90027,,
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Los Angeles,US,34.1017424,-118.3019729,,16.99,11.99,,Meat Lover Pizza,Bravo Pizza Hollywood,90027,,
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Los Angeles,US,34.1017424,-118.3019729,,5.99,5.99,,Pizza Sub,Bravo Pizza Hollywood,90027,,
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Los Angeles,US,34.1017424,-118.3019729,,5.99,5.99,,Super Pizza Sub,Bravo Pizza Hollywood,90027,,
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Los Angeles,US,34.1017424,-118.3019729,,16.99,10.99,,Veggie Pizza,Bravo Pizza Hollywood,90027,,
AVwc_8WAByjofQCxkdDA,801 Saint Emanuel St,Houston,US,29.75247947,-95.35416442,,9.95,9.95,Choose any of your own toppings to make it your own,Create Your Own Pizza,Lucky's Pub,77003,25,40
AVwc_abAIN2L1WUfrEps,478 South St,Hyannis,US,41.64827787,-70.29134463,,8.95,8.95,,Cheese Pizza,Roadhouse Cafe,2601,,
AVwc_abAIN2L1WUfrEps,478 South St,Hyannis,US,41.64827787,-70.29134463,,10.95,10.95,,Pepperoni Pizza,Roadhouse Cafe,2601,,
AVwc_dHKkufWRAb51Kei,1 N University Hl,Provo,US,40.25083927,-111.6492677,,,,,House Made Pizza,Brigham Young University,84602,,
AVwc_dHKkufWRAb51Kei,1 N University Hl,Provo,US,40.25083927,-111.6492677,,19.95,15.71,Seven layer bean dip,Mexican Pizza Dip,Brigham Young University,84602,,
AVwc_dHKkufWRAb51Kei,1 N University Hl,Provo,US,40.25083927,-111.6492677,,,,1 each (324.00 g),Pepperoni Pizza,Brigham Young University,84602,,
AVwc_dHKkufWRAb51Kei,1 N University Hl,Provo,US,40.25083927,-111.6492677,,,,1 each (149.18 g),Pizza Bagel,Brigham Young University,84602,,
AVwc_gjWByjofQCxkYOz,9595 Six Pines Dr,Spring,US,30.16413,-95.46235,,,,,Pizza Con Uovo Fritto,Luke's Locker,77380,0,25
AVwc_h3pkufWRAb51LOO,200 E Chestnut St,Chicago,US,41.89854289,-87.6219955,,10.99,10.99,,Pizza Margherita,Francesca's On Chestnut,60611,25,40
AVwc_h3pkufWRAb51LOO,200 E Chestnut St,Chicago,US,41.89854289,-87.6219955,,10.99,10.99,,Pizza Margherita,Francesca's On Chestnut,60611,25,40
AVwc_h3pkufWRAb51LOO,200 E Chestnut St,Chicago,US,41.89854289,-87.6219955,,,,,Pizza Schiacchiata Alla Toscana,Francesca's On Chestnut,60611,25,40
AVwc_h3pkufWRAb51LOO,200 E Chestnut St,Chicago,US,41.89854289,-87.6219955,,,,,Pizza Schiacchiata Alla Toscana,Francesca's On Chestnut,60611,25,40
AVwc_jdF_7pvs4fz1IZm,145 E Gay St,West Chester,US,39.96193,-75.60276,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,,,with pepperoni,Pizza Bagel,Country Bagel Bakery,19380,,
AVwc_jdF_7pvs4fz1IZm,145 E Gay St,West Chester,US,39.96193,-75.60276,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,,,with mushroom,Pizza Bagel,Country Bagel Bakery,19380,,
AVwc_jdF_7pvs4fz1IZm,145 E Gay St,West Chester,US,39.96193,-75.60276,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,,,with pepperoni & mushroom,Pizza Bagel,Country Bagel Bakery,19380,,
AVwc_jdF_7pvs4fz1IZm,145 E Gay St,West Chester,US,39.96193,-75.60276,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,2.59,2.59,,Pizza Bagel (plain),Country Bagel Bakery,19380,,
AVwc_jdF_7pvs4fz1IZm,145 E Gay St,West Chester,US,39.96193,-75.60276,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,3.29,3.29,,Pizza Bagel With Mushroom,Country Bagel Bakery,19380,,
AVwc_jdF_7pvs4fz1IZm,145 E Gay St,West Chester,US,39.96193,-75.60276,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,3.29,3.29,,Pizza Bagel With Pepperoni,Country Bagel Bakery,19380,,
AVwc_jdF_7pvs4fz1IZm,145 E Gay St,West Chester,US,39.96193,-75.60276,http://www.yellowpages.com/west-chester-pa/mip/country-bagel-bakery-451326037/menu,3.59,3.59,,Pizza Bagel With Pepperoni and Mushroom,Country Bagel Bakery,19380,,
AVwc_JnXIN2L1WUfrB0m,925 Blossom Hill Road Oakridge Mall,San Jose,US,37.250458,-121.863415,,,,,Pizza Con Formaggio,Buca Di Beppo - San Jose - Oakridge,95123,0,30
AVwc_KyeIN2L1WUfrB_N,26900 Newport Rd,Menifee,US,33.68678191,-117.1903038,,8.99,8.99,"BBQ Sauce, Mozzarella Cheese, diced Chicken Breast, Onions",Bbq Chicken Pizza,Giovanni's Pizza and Pasta,92584,25,40
AVwc_KyeIN2L1WUfrB_N,26900 Newport Rd,Menifee,US,33.68678191,-117.1903038,,8.99,8.99,,Breakfast Pizza,Giovanni's Pizza and Pasta,92584,25,40
AVwc_KyeIN2L1WUfrB_N,26900 Newport Rd,Menifee,US,33.68678191,-117.1903038,,8.99,8.99,,Cadillac Pizza,Giovanni's Pizza and Pasta,92584,25,40
AVwc_KyeIN2L1WUfrB_N,26900 Newport Rd,Menifee,US,33.68678191,-117.1903038,,8.99,8.99,,Hawaiin Pizza,Giovanni's Pizza and Pasta,92584,25,40
AVwc_KyeIN2L1WUfrB_N,26900 Newport Rd,Menifee,US,33.68678191,-117.1903038,,8.99,8.99,,Pesto Chicken Pizza,Giovanni's Pizza and Pasta,92584,25,40
AVwc_KyeIN2L1WUfrB_N,26900 Newport Rd,Menifee,US,33.68678191,-117.1903038,,4.59,4.59,,Pizza Bread,Giovanni's Pizza and Pasta,92584,25,40
AVwc_KyeIN2L1WUfrB_N,26900 Newport Rd,Menifee,US,33.68678191,-117.1903038,,8.99,8.99,,Southwest Pizza,Giovanni's Pizza and Pasta,92584,25,40
AVwc_KyeIN2L1WUfrB_N,26900 Newport Rd,Menifee,US,33.68678191,-117.1903038,,8.99,8.99,,Thai Chicken Pizza,Giovanni's Pizza and Pasta,92584,25,40
AVwc_KyeIN2L1WUfrB_N,26900 Newport Rd,Menifee,US,33.68678191,-117.1903038,,8.99,8.99,,Vegetarian Pizza,Giovanni's Pizza and Pasta,92584,25,40
AVwc_odFIN2L1WUfrHAb,3480 S Carrier Pkwy,Grand Prairie,US,32.685459,-97.012459,,,,,Bbq Pizza,Uncle John's Pizza,75052,,
AVwc_odFIN2L1WUfrHAb,3480 S Carrier Pkwy,Grand Prairie,US,32.685459,-97.012459,,,,,Create Your Own Pizza,Uncle John's Pizza,75052,,
AVwc_oTMIN2L1WUfrG-p,2111 Stewart Ave,Wausau,US,44.95747331,-89.66768203,,4.99,4.99,"Pepperoni, marinara, garlic, seasoning and parmesan cheese",Pizza,Philly's Subs,54401,0,25
AVwc_VAb_7pvs4fz1F-Z,1707 Delaware Ave,Wilmington,US,39.7583638,-75.5626631,,12,12,,Tuna Pizza,Satsuma,19806,0,30
AVwc_VAb_7pvs4fz1F-Z,1707 Delaware Ave,Wilmington,US,39.7583638,-75.5626631,,12,12,,Tuna Pizza,Satsuma,19806,0,30
AVwc_XoZ_7pvs4fz1Gdd,116 Ann St,Pickens,US,34.883816,-82.7078,,2.99,2.99,,Small Pepperoni or Cheese Pizza,Gatehouse Restaurant,29671,,
