Property Listing Number,Listing Office,Agent Name,Price,Status,Address,City,Family Type,State,County,Bedrooms ,Bathrooms,SqFtTotFn,DOM, Tax  Amount ,Lot - Acres,Garage,Year Built,Total Stories,Surveyed,Seasonal,Rooms ,Flood Zone,Current Use,Basement Access Type,Basement
4043956,Granite Northland Associates,Doreen Wyman,"$198,500 ",OP,668 NH ROUTE 118,Canaan,Single Family,NH,NH-Grafton,3,2,"1,144",520,"4,292",1.09,No,2007,1,Yes,No,5,No,No,Walkout,Yes
4090057,Vanessa Stone Real Estate,Vanessa Stone,"$130,000 ",OP,157 Follensbee Rd,Canaan,Single Family,NH,NH-Grafton,4,2,"2,304",275,"3,410",1,No,1973,2,Unknown,No,8,No,No,Walkout,Yes
4091600,Vanessa Stone Real Estate,Vanessa Stone,"$349,900 ",OP,142 Wescott Road,Canaan,Single Family,NH,NH-Grafton,4,2,"2,100",377,"6,794",18,Yes,2003,2,Yes,No,8,No,No,,No
4092897,Granite Northland Associates,Doreen Wyman,"$175,000 ",OP,46 Kilton Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,673",572,"4,040",4.1,Yes,1900,1.5,Unknown,No,8,No,,,Yes
4103231,Vanessa Stone Real Estate,Vanessa Stone,"$259,900 ",OP,16 Gould Rd,Canaan,Single Family,NH,NH-Grafton,4,3,"3,221",409,"6,379",2,Yes,1980,2,Yes,No,12,Unknown,No,Walkout,Yes
4104757,Granite Northland Associates,Doreen Wyman,"$70,000 ",OP,31 Codfish Hill Road,Canaan,Single Family,NH,NH-Grafton,2,1,868,130,"1,496",0.64,No,1983,1,Yes,No,4,No,,,No
4121160,Granite Northland Associates,Doreen Wyman,"$75,000 ",OP,40 Warbonnet,Canaan,Single Family,NH,NH-Grafton,3,0,"1,260",288,"2,132",2.63,No,1952,1,Yes,Yes,6,No,No,,No
4122903,Granite Northland Associates,Doreen Wyman,"$210,000 ",OP,136 SOUTH ROAD,Canaan,Single Family,NH,NH-Grafton,3,2,"1,344",33,"4,082",5.1,Yes,2007,1,Yes,No,5,Unknown,,Walkout,Yes
4135475,Real Home Services and Solutions,Agent41590 House,"$43,199 ",OP,463 NH ROUTE 118,Canaan,Single Family,NH,NH-Grafton,3,1,"1,432",7,"3,205",2.19,Yes,1958,1,Yes,No,6,Unknown,,,No
4137102,RE/MAX Northern Edge Realty LLC,Steve Grone,"$60,000 ",OP,154 Grafton Turnpike Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,944",201,"5,624",3.4,Yes,1990,2,Unknown,No,6,No,,Interior,Yes
4139864,Cantlin Associates REALTORS,house 2264,"$180,000 ",OP,5 Hersey Way,Canaan,Single Family,NH,NH-Grafton,3,2,"2,616",195,"3,821",1.7,Yes,1989,1.5,Yes,No,7,No,No,Walk-up,Yes
4139948,Moosilauke Realty,Myles Moran,"$150,000 ",OP,25 Rogers Way,Canaan,Single Family,NH,NH-Grafton,3,2,"1,972",0,"5,800",2.7,Yes,1995,1.75,Yes,No,9,No,No,Interior,Yes
4142306,Granite Northland Associates,Doreen Wyman,"$211,000 ",OP,70 Wolfson Spring,Canaan,Single Family,NH,NH-Grafton,3,2,0,269,"4,505",16.46,No,2004,2.5,Yes,No,8,No,Yes,Walkout,Yes
4144886,Coldwell Banker RB/Center Harbor,Robert Williams,"$28,000 ",OP,60 Gould Road,Canaan,Single Family,NH,NH-Grafton,0,0,600,129,"1,099",1,No,1968,1,Yes,Yes,0,No,,,No
4145928,Granite Northland Associates,Doreen Wyman,"$100,000 ",OP,43 Gristmill Hill Road,Canaan,Single Family,NH,NH-Grafton,3,1,"1,499",44,"3,587",5.4,Yes,1840,1.75,Yes,No,7,No,No,Walk-up,Yes
4147155,Moseley Associates,Cheryl Brush,"$115,000 ",OP,51 Canaan Street,Canaan,Single Family,NH,NH-Grafton,3,2,"1,288",21,"3,095",0.28,Yes,1912,1,Unknown,No,5,Unknown,,Walkout,Yes
4146884,Vanessa Stone Real Estate,Vanessa Stone,"$219,000 ",OP,672 Goose Pond Road,Canaan,Single Family,NH,NH-Grafton,2,1,"1,134",123,"5,749",1.4,No,1978,2,Yes,No,4,No,No,Walk-up,Yes
4147649,Vanessa Stone Real Estate,Vanessa Stone,"$170,000 ",OP,60 Gristmill Hill Rd,Canaan,Single Family,NH,NH-Grafton,3,2,"1,805",27,"3,328",0.92,Yes,1995,1,Yes,No,6,No,No,Walkout,Yes
