address,city,country,latitude,longitude,name,Rating,postalCode,province,websites
324 Main St,Massena,US,44.9213,-74.89021,McDonald's,1,13662,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
530 Clinton Ave,Washington Court House,US,39.53255,-83.44526,Wendy's,3,43160,OH,http://www.wendys.com
408 Market Square Dr,Maysville,US,38.62736,-83.79141,Frisch's Big Boy,4,41056,KY,"http://www.frischs.com,https://www.frischs.com/location/maysville-ky/"
6098 State Highway 37,Massena,US,44.95008,-74.84553,McDonald's,2,13662,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
139 Columbus Rd,Athens,US,39.35155,-82.09728,OMG! Rotisserie,3,45701,OH,"http://www.omgrotisserie.com,http://omgrotisserie.com"
4182 Tonya Trl,Hamilton,US,39.4176,-84.47641,Domino's Pizza,3,45011,OH,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
590 S Main St,Englewood,US,39.86969,-84.29358,Domino's Pizza,2,45322,OH,"https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
401 N Jennings St,Saluda,US,34.00598,-81.7704,McDonald's,3,29138,SC,http://www.mcdonalds.com
205 W Church St,Batesburg,US,33.91335,-81.5333,Wendy's,1,29006,SC,http://www.wendys.com
2711 W. Kings Highway Ste. 18,Paragould,US,36.06107,-90.52325,Pizza Hut,4,72450,AR,http://www.pizzahut.com
613 W Center St,Sheridan,US,34.30687,-92.40784,SONIC Drive In,5,72150,AR,https://locations.sonicdrivein.com/ar/sheridan/613-w--center-street.html
512 Highway 425 S Lot B,Monticello,US,33.61937,-91.80232,Domino's Pizza,2,71655,AR,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps"
1535 NW 50th St,Oklahoma City,US,35.52234,-97.5382,McDonald's,3,73118,OK,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
125 Towne Center Dr,Lexington,US,38.06753,-84.53043,Domino's Pizza,5,40511,KY,"https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
66 14th St.,Tell City,US,37.941032,-86.762115,Long John Silver's,5,47586,IN,http://www.ljsilvers.com
301 University Blvd,Louisville,US,38.21999,-85.764824,McDonald's,4,40208,KY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
5812 NW Expressway,Oklahoma City,US,35.54815,-97.61717,McDonald's,5,73132,OK,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
101 Thomas Garst Ln,Leland,US,34.23389,-77.99544,Taco Bell,1,28451,NC,"http://www.tacobell.com,https://locations.tacobell.com/nc/leland/101-thomas-garst-lane.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=030564andutm_content=website"
1111 New Pointe Blvd,Leland,US,34.21188,-78.02454,McDonald's,2,28451,NC,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
782 Old Hickory Blvd Ste 120,Brentwood,US,36.04222,-86.77995,Qdoba Mexican Grill,2,37027,TN,"http://www.qdoba.com,https://locations.qdoba.com/us/tn/brentwood/782-old-hickory-blvd.html"
108 Village Rd NE,Leland,US,34.234477,-78.000649,McDonald's,1,28451,NC,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
1116 Old Highway 60,Hardinsburg,US,37.792641,-86.492762,McDonald's,3,40143,KY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
1423 Southwest Pkwy,Wichita Falls,US,33.85371,-98.50065,McDonald's,2,76302,TX,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
908 Padre Blvd,South Padre Island,US,26.09105,-97.1643,McDonald's,5,78597,TX,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
1131n N Main St,Miami,US,36.88826,-94.87766,McDonald's,2,74354,OK,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
3401 Hwy 165 North,Pineville,US,31.3626,-92.41343,Pizza Hut,2,71360,LA,http://www.pizzahut.com
1631 E Madison Ave,Bastrop,US,32.77992,-91.89477,Sonic Drive-In,3,71220,LA,https://locations.sonicdrivein.com/la/bastrop/1631-e--madison.html
301 S Lynn Riggs Blvd,Claremore,US,36.31069,-95.61759,Domino's Pizza,4,74017,OK,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps"
601 E Lincolnway,Minerva,US,40.732,-81.09812,McDonald's,5,44657,OH,"http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
3211 S 4th St,Leavenworth,US,39.28532,-94.90441,SONIC Drive In,3,66048,KS,https://locations.sonicdrivein.com/ks/leavenworth/3211-s-fourth-street.html
105 Business Loop W,Jamestown,US,46.898997,-98.707788,Taco Bell,3,58401,ND,"http://www.tacobell.com,https://locations.tacobell.com/nd/jamestown/105-business-loop-west.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=019434andutm_content=website"
